"Name","Genre__c","Poster_Path__c","Year__c"
"Mad Max: Fury Road","Action","ulcAi4dKpAjHwYGS08vNyx9H6I9","2015"
"A Minecraft Movie","Adventure","yFHHfHcUgGAxziP1C3lLt0q2T4s","2025"
"Spirited Away","Animation","39wmItIWsg5sZMyRUHLkWBcuVCM","2001"
"Superbad","Comedy","ek8e8txUyUwd2BNqj6lFEerJfbq","2007"
"The Godfather","Crime","3bhkrj58Vtu7enYsRolD1fZdja1","1972"
"Paul McCartney: Man on the Run","Documentary","ukhsD0HuoTAonE7B7aeBU7ZFcV4","2025"
"The Shawshank Redemption","Drama","9cqNxx0GxF0bflZmeSMuL5tnGzr","1994"
"Paddington 2","Family","1OJ9vkD5xPt3skC6KguyXAgagRZ","2017"
"The Lord of the Rings: The Fellowship of the Ring","Fantasy","6oom5QYQ2yQTMJIbnvbkBL9cHo6","2001"
"Schindler's List","History","sF1U4EUQS8YHUYjNl3pMGNIQyr0","1993"
"Longlegs","Horror","1EwNyiiNFd863H4e8nWEzutnZD7","2024"
"Whiplash","Music","7fn624j5lj3xTme2SgiLCeuedmO","2014"
"Knives Out","Mystery","pThyQovXQrw2m0s9x82twj48Jq4","2019"
"Pride & Prejudice","Romance","o8UhmEbWPHmTUxP0lMuCoqNkbB3","2005"
"Interstellar","Science Fiction","yQvGrMoipbRoddT0ZR8tPoR7NfX","2014"
"The Silence of the Lambs","Thriller","uS9m8OBk1A8eM9I042bx8XXpqAq","1991"
"Saving Private Ryan","War","uqx37cS8cpHg8U35f9U5IBlrCV3","1998"
"Unforgiven","Western","54roTwbX9fltg85zjsmrooXAs12","1992"
"Dune: Part Two","Science Fiction","6izwz7rsy95ARzTR3poZ8H6c5pp","2024"
"Everything Everywhere All at Once","Action","u68AjlvlutfEIcpmbYpKcdi09ut","2022"
"Oppenheimer","History","8Gxv8gSFCU0XGDykEGv7zR1n2ua","2023"
"Spider-Man: Into the Spider-Verse","Animation","iiZZdoQBEYBv6id8su7ImL0oCbD","2018"
"Parasite","Thriller","7IiTTgloJzvGI1TAYymCfbfl3vT","2019"
"The Dark Knight","Crime","qJ2tW6WMUDux911r6m7haRef0WH","2008"
"La La Land","Music","uDO8zWDhfWwoFdKS4fzkUJt0Rf0","2016"
"Free Solo","Documentary","v4QfYZMACODlWul9doN9RxE99ag","2018"
"Inside Out 2","Family","vpnVM9B6NMmQpWeZvzLvDESb2QY","2024"
"Get Out","Horror","tFXcEccSQMf3lfhfXKSU9iRBpa3","2017"
"The Grand Budapest Hotel","Comedy","eWdyYQreja6JGCzqHWXpWHDrrPo","2014"
"Before Sunrise","Romance","kf1Jb1c2JAOqjuzA3H4oDM263uB","1995"
"Prisoners","Mystery","uhviyknTT5cEQXbn6vWIqfM4vGm","2013"
"Raiders of the Lost Ark","Adventure","ceG9VzoRAVGwivFU403Wc3AHRys","1981"
"1917","War","iZf0KyrE25z1sage4SYFLCCrMi9","2019"
"Django Unchained","Western","7oWY8VDWW7thTzWh3OKYRkWUlD5","2012"
"Pan's Labyrinth","Fantasy","z7xXihu5wHuSMWymq5VAulPVuvg","2006"
"12 Angry Men","Drama","ppd84D2i9W8jXmsyInGyihiSyqz","1957"
"The Mummy","Action","zxkY8byBnCsXodEYpK8tmwEGXBI","2017"
"The Lone Ranger","Adventure","yDuJGq8biNMW7zM3w95UaDJv0KG","2013"
"Pinocchio","Animation","zaZhjKrJeWczQ3AotKoQObppEbH","2022"
"The Adventures of Pluto Nash","Comedy","96vvhLWWDosS1zRrfQ6XEGAzByL","2002"
"Gotti","Crime","6vdCoMp68u6JbnlqeXEvxrTNPSm","2018"
"Cats","Family","aCNch5FmzT2WaUcY44925owIZXY","2019"
"Catwoman","Fantasy","pvnPgukFyEKgCzyOxyLiwyZ8T1C","2004"
"Alexander","History","jrwQu72sGwGqwE8Ijne89PSIvhp","2004"
"The Wicker Man","Horror","xsHrmfgDcEk5fGhSiieKvrDuofq","2006"
"From Justin to Kelly","Music","bLLlgQ6nZPGxvAjp0qjTX1wD2hl","2003"
"The League of Extraordinary Gentlemen","Mystery","kdAuVFP63XXxnb983ry2pLCKd9S","2003"
"Gigli","Romance","qOhAK3WDqdeVTIE59loXvEGU7Lu","2003"
"Battlefield Earth","Science Fiction","wXCRuBHdJ5aTFQdsuGJFXNdo79T","2000"
"Blackhat","Thriller","7zu6HPnKPjNA7NuR4DGRdaH0PdX","2015"
"Aloha","Romance","58Y4CjcRX8AtMNtI0AXu9H7iebP","2015"
"Wild Wild West","Western","mCdo7nykEVCa25bjnkwgyX35fjm","1999"
"The Bourne Legacy","Action","1aExL5DTGHj25ZfIC3dDwS84RWi","2012"
"Now You See Me","Mystery","tWsNYbrqy1p1w6K9zRk0mSchztT","2013"
"The Great Gatsby","Drama","nimh1rrDDLhgpG8XAYoUZXHYwb6","2013"
"Passengers","Science Fiction","jK9S6HANSf2no64v1x1HxfcpmcA","2016"
"Robin Hood","Adventure","AiRfixFcfTkNbn2A73qVJPlpkUo","2018"
"Terminator: Dark Fate","Action","vqzNJRH4YyquRiWxCCOH0aXggHI","2019"
"Avatar: Fire and Ash","Science Fiction","bRBeSHfGHwkEpImlhxPmOcUsaeg","2025"
